Age,NOC,Sport
25.0,URS,Athletics
20.0,ITA,Rowing
21.0,GBR,Swimming
21.0,GBR,Swimming
21.0,GBR,Swimming
23.0,URS,Athletics
19.0,POR,Swimming
19.0,POR,Swimming
19.0,POR,Swimming
22.0,URS,Wrestling
25.0,URS,Fencing
25.0,URS,Fencing
20.0,URS,Wrestling
21.0,GBR,Judo
21.0,GBR,Swimming
22.0,FRA,Athletics
27.0,GBR,Fencing
25.0,IND,Equestrianism
25.0,IND,Equestrianism
18.0,URS,Volleyball
23.0,URS,Hockey
25.0,URS,Athletics
27.0,URS,Water Polo
25.0,URS,Athletics
25.0,URS,Athletics
17.0,URS,Swimming
17.0,URS,Swimming
17.0,URS,Swimming
17.0,URS,Swimming
33.0,ITA,Water Polo
19.0,JAM,Cycling
23.0,URS,Rowing
38.0,URS,Weightlifting
27.0,URS,Diving
34.0,URS,Athletics
24.0,AUS,Basketball
27.0,JAM,Athletics
27.0,JAM,Athletics
15.0,HUN,Gymnastics
15.0,HUN,Gymnastics
15.0,HUN,Gymnastics
15.0,HUN,Gymnastics
15.0,HUN,Gymnastics
15.0,HUN,Gymnastics
18.0,POR,Gymnastics
18.0,POR,Gymnastics
18.0,POR,Gymnastics
18.0,POR,Gymnastics
18.0,POR,Gymnastics
25.0,URS,Fencing
24.0,GDR,Weightlifting
24.0,HUN,Rowing
23.0,FRA,Wrestling
23.0,FRA,Wrestling
28.0,URS,Wrestling
24.0,URS,Football
21.0,URS,Volleyball
27.0,URS,Gymnastics
27.0,URS,Gymnastics
27.0,URS,Gymnastics
27.0,URS,Gymnastics
27.0,URS,Gymnastics
27.0,URS,Gymnastics
27.0,URS,Gymnastics
27.0,URS,Gymnastics
25.0,HUN,Handball
22.0,URS,Athletics
30.0,URS,Athletics
28.0,URS,Athletics
28.0,URS,Athletics
20.0,AUS,Athletics
26.0,URS,Handball
27.0,HUN,Weightlifting
25.0,URS,Athletics
31.0,FRA,Athletics
29.0,URS,Wrestling
22.0,FRA,Diving
23.0,URS,Athletics
28.0,GDR,Judo
26.0,URS,Shooting
20.0,IND,Wrestling
32.0,URS,Equestrianism
21.0,GBR,Wrestling
19.0,GBR,Swimming
19.0,GBR,Swimming
19.0,GBR,Swimming
22.0,GBR,Swimming
22.0,GDR,Athletics
22.0,GDR,Athletics
29.0,AUS,Athletics
29.0,AUS,Athletics
23.0,URS,Canoeing
28.0,GBR,Rowing
22.0,URS,Gymnastics
22.0,URS,Gymnastics
22.0,URS,Gymnastics
22.0,URS,Gymnastics
22.0,URS,Gymnastics
22.0,URS,Gymnastics
22.0,URS,Gymnastics
22.0,URS,Gymnastics
29.0,URS,Hockey
23.0,HUN,Athletics
19.0,HUN,Boxing
28.0,HUN,Weightlifting
19.0,URS,Volleyball
29.0,GDR,Football
30.0,GBR,Rowing
25.0,ITA,Basketball
23.0,HUN,Athletics
23.0,HUN,Athletics
34.0,URS,Sailing
28.0,HUN,Archery
31.0,URS,Wrestling
29.0,ITA,Rowing
22.0,HUN,Rowing
24.0,HUN,Wrestling
21.0,GBR,Canoeing
21.0,GBR,Canoeing
30.0,HUN,Handball
38.0,HUN,Equestrianism
22.0,URS,Football
32.0,HUN,Volleyball
